studno,description,action,datefiled,dateresolved
2009-98012,ante ipsum primis in faucibus,nisi,1998-05-06,1995-12-17
2014-14083,non ligula pellentesque ultrices phasellus id sapien in,scelerisque,1995-11-30,1992-03-23
1990-68200,lacus at turpis donec posuere metus vitae,nascetur,1990-05-02,2000-06-01
2001-01801,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,cursus,1996-10-23,1998-09-28
1990-55649,quis orci nullam molestie nibh in lectus pellentesque,tortor,2000-04-17,1994-06-20
2015-89060,erat tortor sollicitudin mi sit amet,pharetra,1999-01-10,1997-01-07
2011-65139,aliquet at feugiat non pretium quis lectus suspendisse potenti,quis,1996-03-14,1992-01-25
1993-68200,amet diam in magna bibendum,sed,1997-03-13,1993-12-11
2019-31130,vitae mattis nibh ligula nec sem duis aliquam convallis,maecenas,1992-06-25,1999-11-13
2001-82486,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,in,1991-11-28,1992-12-18
2009-02364,donec ut dolor morbi vel lectus in quam,eu,1994-07-01,1996-04-14
1993-07799,blandit mi in porttitor pede justo eu massa donec,natoque,1991-05-20,1996-03-23
2017-07910,malesuada in imperdiet et commodo vulputate justo in,in,2000-10-19,1995-05-15
2004-41531,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,justo,1998-09-15,1991-10-07
2016-54504,consequat morbi a ipsum integer a nibh,luctus,1998-07-30,1994-01-24
2016-32032,erat volutpat in congue etiam justo etiam pretium iaculis,phasellus,1995-10-08,1993-10-21
1994-46554,ultrices posuere cubilia curae duis faucibus,pede,1991-06-23,1996-03-01
2012-31842,at diam nam tristique tortor eu pede,duis,1998-03-22,1997-09-25
2004-34047,magna ac consequat metus sapien,duis,1998-08-12,1994-10-18
1998-56475,bibendum imperdiet nullam orci pede venenatis non sodales,in,1997-01-31,1991-06-10
2006-10934,volutpat in congue etiam justo etiam pretium iaculis,dapibus,1997-02-28,1991-06-11
2010-14134,eget nunc donec quis orci eget orci vehicula condimentum curabitur,morbi,1991-08-21,1999-10-30
